2019/03/21 22:21:14,https://www.linkedin.com/jobs/view/1182900721/?eBP=JOB_SEARCH_ORGANIC&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,GIS Database Administrator,Khatib & Alami,"Beirut, Beirut, Lebanon",Posted 15 hours ago,49 applicants,"Job Summary,   The Database Administrator is responsible for contributing to GSI services to prepare suitable testing and development environment for project teams, create databases based on a physical schema, import and export data/schemas, undertake software installations and system updates, troubleshoot problems and prepare necessary documentation/manuals. S/He is responsible to implement the Department’s business plan, adhere to policies and procedures, ensure quality, and manage cost. S/He shall stay abreast of the latest trends and developments in the GIS space and represent the firm in the professional GIS community and regional forums.,   Responsibilities, Prepare development and testing environment in-house for project teams to mimic expect client system environments, Provide essential virtualization support for laptops, desktop computers and servers in-house for project team members and at the customer’s site as necessary, Prepare database using physical schema, constraints, and perform import and export activities, Prepare training material as part of project delivery to help educate the client in the deployed database/geodatabase, its administration and software installations, Take appropriate action in system upgrades and resolve problems that may arise due to the upgrade, Contribute to writing documents related to database administration, software installation and troubleshooting of related problems for issuing to clients, Ensure project deliverables receive required quality control and documentation, providing reports to Project Manager,   Qualification, Technical Skills, and Competencies Required to Execute this Role, Bachelor Degree in Computer Science, Computer Engineer or equivalent, Good knowledge of the application of geospatial technologies to all industries, Good Relational Database knowledge, Good analytical and technical vision skills, Good presentation skills, Good interpersonal skills, Good communication skills, Proficiency in spoken and written Arabic and English, , Experience Required to Execute this Role, 3+ years of relevant experience in the Geospatial industry, Some experience in administering relational databases in a multi-user environment, Some experience in delivering products, solutions, and services under projects, Some experience with developing and maintaining relationships with clients, Some relevant industry experience within the Middle East and other countries of operation",Entry level,Design Architecture & Planning Civil Engineering,Full-time,Information Technology Other Engineering,"Khatib & Alami (K&A) creates, designs, supervises and manages projects that have the potential to better society. We build on our proven multidisciplinary expertise and offer regional urban planning and comprehensive architectural and engineering consulting services. K&A focuses on delivering innovative solutions that meet clients' real needs. With a history of success and a network of subsidiaries and sister companies, we provide our clients with an integrated approach to reliable project delivery in the evolving globalized world. Proactive rather than reactive, we are at the forefront of new specialties and advantageous alliances. We are here to enhance people's lifestyle and the economy through our distinctive and continuous services. Our adaptability and solid communication between branches mean we deliver results against all odds and external challenges. With our unique level of service and anticipation of market trends, we strive to make sure you ensure our clients are satisfied, regardless of the size of the project. We also focus on social needs and pay special attention to the environment and communities. K&A’s services are all in-house, covering a broad spectrum of disciplines from architecture to urban, transportation, energy, water, and oil & gas projects. We enhance infrastructure, create new buildings, develop neighborhoods, and reshape entire cities. Our area of operations covers the Middle East and North Africa (MENA), Sub-Saharan Africa, Commonwealth of Independent States (CIS), Western Europe and North America, with 8 regional offices and numerous branches, bringing together over 30 nationalities and more than 6,000 employees. We are among the top 100 international design firms in the world, according to Engineering News-Record (ENR). www.khatibalami.com"
2019/03/21 22:21:52,https://www.linkedin.com/jobs/view/1142482910/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=IN_NETWORK&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,Senior Consultant – Digital Strategy on Transport and Logistics - Dubai,Minsait,Líbano,Posted 3 weeks ago,Over 200 applicants,"The Company, , ALG - Minsait is a global management consulting firm with over 25 years of expertise in transport & infrastructure & logistics advisory and consulting services and proven success in the market it serves; aviation (airlines, airports, air navigation), maritime (terminal operators, shipping lines, ports), rail, traffic & toll roads, urban transport, logistics platforms and infrastructure.,   Through our pragmatic approach, we are able to act effectively in the following functional areas: , Air, Ports and Road transportation, Digital Solutions, Supply Chain Management, Customs processes, Business development & Strategy, Project Management Office (PMO), Transactions & Business advisory, Facility and Operations, Infrastructure development, Technology,     Functions, , As a Senior Consultant, you will be part of one of the top global transport and infrastructure consulting companies and you will work with the leading transport operators, infrastructure developers and investors advising them on strategic, commercial and operational challenges., You will become part of a global organization offering deep expertise and strategic insights to clients in a multi-disciplinary working environment made up of inspiring people with skills ranging from technical experts to strategic thinkers. You could become an industry-leading subject matter expert or a trusted advisor to senior client management on a wide range of issues., , Requirements,   +5 years of working experience in Business Consulting (required), PMO experience and/or development and implementation of digital solutions is required., Excellent academic track record with a University degree or Masters in a strong analytical discipline. MBA desirable., Highly developed analytical and numerical skills., Ability to work to tight deadlines, with an excellent attention to detail., Action oriented and results driven, with strong planning and organizational skills., Team player, with a strong commitment to excellence., Excellent communication skills in English language (oral and written) – multi-lingual ability is highly valued. Desirable Arabic language., Ability to travel as required by project commitments, High desire for personal growth through a combination of challenge and on the job learning, Based in Dubai office, , Please, attach your CV",Entry level,Management Consulting,Full-time,Consulting,"Minsait was born as the answer to Indra's focus on high added-value businesses that enable high growth-rates and profitability, leveraging on Indra's sectoral leadership in the development of solutions for integrated technology projects. Minsait encapsulates a differential offering concept. Our goal is to support our clients in transforming their business models in the wake of today's rapidly changing world. We put at the service of our clients our proven capacity for innovation and the immense talent of our teams. 
 You will become part of a global organization offering deep expertise and strategic insights to clients in a multi-disciplinary working environment made up of inspiring people with skills ranging from technical experts to strategic thinkers. You could become an industry-leading subject matter expert or a trusted advisor to senior client management on a wide range of issues."
2019/03/21 22:22:28,https://www.linkedin.com/jobs/view/1184038657/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=HIDDEN_GEM&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,Professional Medical Representative,Sanofi,"Beirut, LB",Posted 4 hours ago,Be among the first 25 applicants,"Achieving Targets, , Achieve set targets., Apply territory planning to get maximum use of time and best area coverage for both doctors and pharmacists., Utilize sanofi scientific knowledge in the Sanofi promotion methods., Implement on going Targeting and Profiling of customers, Deal with opinion leaders and get market feedback on a regular basis. Report any relevant information to FFM/Area Manager and know company procedures and best practice., Promoting Company products and image, Conducting follow-up service calls to all physicians to ensure highest levels of customer satisfaction in the respect of sanofi strategy., Applying Company policies concerning promotion., Solving any problems with doctors and pharmacists within his/her area., Acting as a communication link between clients and the Company, as well as acting as a channel of information between both sides through approved descriptive material of the Company., Any other tasks as assigned depending on the need and maintain consistency with Sanofi values in all public relations., , At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.",Entry level,Pharmaceuticals,Full-time,Sales Business Development,"Sanofi is a global life sciences company committed to improving access to healthcare and supporting the people we serve throughout the continuum of care. From prevention to treatment, Sanofi transforms scientific innovation into healthcare solutions, in human vaccines, rare diseases, multiple sclerosis, oncology, immunology, infectious diseases, diabetes and cardiovascular solutions and consumer healthcare. More than 110,000 people at Sanofi are dedicated to make a difference on patients’ daily life, wherever they live and enable them to enjoy a healthier life."
2019/03/21 22:23:05,https://www.linkedin.com/jobs/view/1167253550/?eBP=NotAvailableFromVoyagerAPI&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,Software Developer,Cedarcom - Mobi,"Beirut, LB",Posted 5 days ago,25 applicants,"About Us, , Cedarcom Group, established in 1997, is a group that includes Mobi, the leading Internet Service Provider (ISP) in Lebanon and Cedarcom, the leading Data Service Operator (DSO). We are the innovators in the internet and data landscape since we launched our services in 1999., , Responsibilities, Participate in workshops with stakeholders in order to validate business requirements, Apply modelling skills to design, develop and maintain Data Warehouse and Business Intelligence, Leverage data analysis skills to analyze business areas, understand source systems’ data and map them, Design, build & test mobile application in Android and iOS, websites in HTML5, web services in .NET framework, , , Requirements, .NET developer, HTML5, Angular, Mobile applications, Web services, .NET Reports, QlikSense, Education: BS in Computer Science, computer Engineering or any related field, Experience: 2 to 4 years of experience, , , Bonus Points, Database Administration (SQL, Oracle) and Linux Administration is a plus, , Perks, Great monthly package, CNSS and Insurance, Internal and external training, Bonus based on performance",Mid-Senior level,Information Technology & Services Computer Software Telecommunications,Full-time,Engineering Information Technology,"Cedarcom Group, established in 1997, is a group that includes Mobi, the leading Internet Service Provider (ISP) in Lebanon and Cedarcom, the leading Data Service Operator (DSO). We are the innovators in the internet and data landscape since we launched our services in 1999. 

We are proud to offer the best in class service, support and value for money in the Retail and Corporate sectors.
Mobi was the innovator in mobile broadband when it introduced Mobi iBurst service in 2006. In the past years Mobi introduced ADSL, VDSL, 3G and Mobi Fiber! 

Cedarcom is the undisputed leader in the Data Service Operator sector with national coverage throughout Lebanon. Cedarcom is mixing the best of bread in wireless technologies and fiber optic based services throughout the country."
2019/03/21 22:23:42,https://www.linkedin.com/jobs/view/998732170/?eBP=JOB_SEARCH_ORGANIC&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,Software Development Engineer,Cardinal Health,"Beirut, LB",Posted 2 weeks ago,Over 200 applicants,"We are currently looking for talented Software Development Engineers to help build a high impact product. If you are someone who likes to be empowered to own features and thrives well in a high-velocity agile environment, Cardinal Health is the perfect fit for you., Responsibilities for this position include designing, testing, implementing, releasing, and supporting features that enable healthcare users to manage their inventory efficiently. You should have the ability to work directly with the business to determine feature requirements and will be considered the subject matter expert on assigned features. The ideal candidate must have a mix of technical strength and business acumen. Candidate must be a strong self-starter and should enjoy collaborating with other team members., Qualifications, 2+ years experience in related field preferred., Strong desire to solve problems., Strong desire to learn and improve relentlessly., Excellent organization and interpersonal skills., Experience writing clean code in multiple programming languages., Proficiency in design patterns and object-oriented design., Proficiency in data modeling and API design., Proficiency in application/platform security., Java experience highly preferred., Experience with relational databases highly preferred., Experience with RESTful web services., JavaScript experience highly preferred., Proven experience with client-side web development, Cloud experience., Bachelor’s Degree in related field or equivalent work experience., Good command of the English Language is required., Bonus Points, Open-source project contribution., Experience with distributed computing and message-based systems., Experience with Weblogic Application Server, Oracle Database Server, Spring MVC, AWS or GCP, NoSQL databases, and Docker., What is expected of you and others at this level, Applies working knowledge in the application of concepts, principles, and technical capabilities to perform varied tasks, Works on projects of moderate scope and complexity, Identifies possible solutions to a variety of technical problems and takes actions to resolve, Applies judgment within defined parameters, Receives general guidance may receive more detailed instruction on new projects, Work reviewed for sound reasoning and accuracy, What Software Engineering contributes to Cardinal Health, Software Engineering is responsible for designing, developing, implementing and supporting applications, systems and IT products required to achieve the company's business objectives., Demonstrates knowledge of software development techniques and fluency in software languages and application programming interfaces., Demonstrates general understanding of hardware/software platforms including but not limited to operating systems, databases, application servers, web servers and integration technologies., Plans and executes system implementations that ensure success and minimize risk of system outages or other negative production impacts., Demonstrates conceptual knowledge of architecture standards and database and operating systems., Analyzes production system operations using tools such as monitoring, capacity analysis and outage root cause analysis to identify and drive change that ensures continuous improvement in system stability and performance., Demonstrates knowledge of software development, life cycle, modeling of business processes, application design patterns, business/functional documents. Estimates to high level business requirements and provide options analysis., Cardinal Health is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",Associate,Hospital & Health Care Logistics & Supply Chain Medical Device,Full-time,Engineering Information Technology,"Cardinal Health, Inc. is a global, integrated healthcare services and products company, providing customized solutions for hospitals, healthcare systems, pharmacies, ambulatory surgery centers, clinical laboratories and physician offices worldwide. The company provides clinically proven medical products and pharmaceuticals and cost-effective solutions that enhance supply chain efficiency from hospital to home. Cardinal Health connects patients, providers, payers, pharmacists and manufacturers for integrated care coordination and better patient management. Backed by nearly 100 years of experience, with approximately 50,000 employees in nearly 60 countries, Cardinal Health ranks #15 on the Fortune 500. For more information, visit cardinalhealth.com, follow @CardinalHealth on Twitter.

Disclaimer:

LinkedIn is a third-party site unaffiliated with Cardinal Health. Cardinal Health is not responsible for the privacy or security policies or practices on LinkedIn or on any of the third party websites that we may link to through LinkedIn. You should carefully review the privacy and security practices of LinkedIn and linked third-party websites.

We do not necessarily endorse any information found here nor are we responsible for the accuracy of any information, opinions, claims, or advice found here or shared here by our followers. By posting content, ideas or pictures, you grant Cardinal Health a non-exclusive, royalty-free, perpetual, and worldwide license to use your content and any images posted by you, including the rights to copy, distribute, transmit, display, reproduce, edit, translate and reformat, and incorporate into a collective work. 

Cardinal Health reserves all rights relating to the company's LinkedIn account, including removing postings and prohibiting individuals from participating on the page."
2019/03/21 22:24:19,https://www.linkedin.com/jobs/view/1184055583/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=IN_NETWORK&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,General Assistant-Warehouse,Nestlé,"El Metn District, LB",Posted 3 hours ago,Be among the first 25 applicants,"Main purpose of the Position, , Position Snapshot, , Position Summary, , A day in the life of..., , What Will Make You Successful?",Entry level,Consumer Goods Food & Beverages Food Production,Full-time,Purchasing Distribution Supply Chain,"As the world’s largest food and beverage company we are driven by a simple aim: enhancing quality of life and contributing to a healthier future. To deliver on this, we serve with passion, with a spirit of excellence, offering products and services for all stages of life, every moment of the day, helping people care for themselves and their families. Our culture is based on our values rooted in respect: respect for ourselves, respect for others, respect for diversity and respect for the future.

We can trace our origin back to 1866, when the first European condensed milk factory was opened in Cham, Switzerland, by the Anglo-Swiss Condensed Milk Company. One year later, Henri Nestlé, a trained pharmacist, launched one of the world’s first prepared infant cereals ‘Farine lactée’ in Vevey, Switzerland.

Today, we employ around 328,000 people and have factories or operations in almost every country in the world. With our headquarters still based in the Swiss town of Vevey, we had sales of CHF 89.5 billion in 2016.

Our portfolio covers almost every food and beverage category –offering products and services for all stages of life, every moment of the day, helping people care for themselves and their families."
2019/03/21 22:24:54,https://www.linkedin.com/jobs/view/1159909898/?eBP=CwEAAAFpoiAXFNjZ-ZZRNxd4HppZpFzeNy8HRzqkRlStgRhZHzyWoiVHf_qx8hZocrvETbCN8pbB68RFsa_gDEYkgIoU_tf8uG2LG3-QPgefphYduTKax68VTG5J4zExHV-e147lqxIkGtmvmt6T9wM_C8LBpZcT_ynW7jNhrqmtTTHn-bpDqTqUcZE_NWLSzKEqGbDde0qRZ7_PREH9-RwkRZeIbPNIfABQugCOSQQrXaUxlKjryVjvTuTxnNjlGYpGoqSwh8qyebgXFM_jRguSserrpFo5mxhJ9OJDqg3pTIFG63Zj3fvBsWC2vQ4A-St8ZkC87shDYxE9Tk37itvnv6gj&recommendedFlavor=HIDDEN_GEM&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,React Native Mobile Developer,Guruvise,"Beirut District, Lebanon",Posted 2 weeks ago,Be among the first 25 applicants,"Established in 2016, Guruvise is a peer-to-peer platform that bridges eager learners with vetted educators from various academic fields and backgrounds. Guruvise smart-matches peers and aspires to build a knowledge-sharing community that realizes its academic goals and maximizes its success. Furthermore, Guruvise envisions becoming the premiere academic companion to students., , We are currently looking for a React Native mobile developer interested in building performant mobile apps on both the iOS and Android platforms, who will be responsible for architecting and building these applications, as well as designing a Firebase backend., , The developer:, Must be able to provide sound technical leadership in all aspects of our business. We’re in the phase of defining the requirements of our MVP, a mobile app that will connect students with tutors on a platform;, Will work hand-in-hand with the executive team as well as the designer to translate the business and applications requirements into mobile solutions using the recommended frameworks and technology;, Should have a passion for startups and understand its life cycle, as well as possess leadership skills that will be used to scale and manage a team in the long-term., , Job Description:, Build pixel-perfect, buttery smooth UIs across both mobile platforms., Leverage native APIs for deep integrations with both platforms., Diagnose and fix bugs and performance bottlenecks for performance that feels native., Maintain code and write automated tests to ensure the product is of the highest quality., Develop a real-time database using Firebase technologies, , Skills Needed:, Experience with iOS and Android development;, A broad knowledge of React and the Javascript ecosystem;, Experience with Multi-Threading and memory management specific to mobile devices;, Experienced in building and leading engineering teams;, Experienced in building and managing product backlogs;, Work well with executives;, An understanding of the need for encapsulated UI code;, Disciplined approach to writing tests and quality assurance;, Understanding of core CS concepts such as: common data structures and algorithms, profiling/optimization;, An engineering leader who wants to help shape an industry.",Mid-Senior level,Education Management,Full-time,Engineering Information Technology,"Guruvise provides proficient tutoring sessions for university students in several academic fields and areas. The company was founded in 2016 after several tutors decided to work together for the utmost benefits and outcomes of students of various majors and departments from both universities. 

Guruvise thrives to become a dominant tutoring platform for students to resort to when challenged by academic hitches as it promises to provide scholastic consultation, problem-solving recommendations, in addition to their tutoring program which includes comprehensive packages as well as project management services.

Our private tutoring programs are completely customized to our student's needs, schedule, learning level and style. In addition, our tutors pledge to help their students reach both their goals and their maximum outputs as they are available around the clock whether just for few hours or for the whole semester.

Guruvise enjoys working at a constant 24/7 basis nonstop to joyfully meet their student's requests and demand with the help of 45+ tutors around Lebanon."
2019/03/21 22:25:31,https://www.linkedin.com/jobs/view/1142482910/?eBP=JOB_SEARCH_ORGANIC&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,Senior Consultant – Digital Strategy on Transport and Logistics - Dubai,Minsait,Líbano,Posted 3 weeks ago,Over 200 applicants,"The Company, , ALG - Minsait is a global management consulting firm with over 25 years of expertise in transport & infrastructure & logistics advisory and consulting services and proven success in the market it serves; aviation (airlines, airports, air navigation), maritime (terminal operators, shipping lines, ports), rail, traffic & toll roads, urban transport, logistics platforms and infrastructure.,   Through our pragmatic approach, we are able to act effectively in the following functional areas: , Air, Ports and Road transportation, Digital Solutions, Supply Chain Management, Customs processes, Business development & Strategy, Project Management Office (PMO), Transactions & Business advisory, Facility and Operations, Infrastructure development, Technology,     Functions, , As a Senior Consultant, you will be part of one of the top global transport and infrastructure consulting companies and you will work with the leading transport operators, infrastructure developers and investors advising them on strategic, commercial and operational challenges., You will become part of a global organization offering deep expertise and strategic insights to clients in a multi-disciplinary working environment made up of inspiring people with skills ranging from technical experts to strategic thinkers. You could become an industry-leading subject matter expert or a trusted advisor to senior client management on a wide range of issues., , Requirements,   +5 years of working experience in Business Consulting (required), PMO experience and/or development and implementation of digital solutions is required., Excellent academic track record with a University degree or Masters in a strong analytical discipline. MBA desirable., Highly developed analytical and numerical skills., Ability to work to tight deadlines, with an excellent attention to detail., Action oriented and results driven, with strong planning and organizational skills., Team player, with a strong commitment to excellence., Excellent communication skills in English language (oral and written) – multi-lingual ability is highly valued. Desirable Arabic language., Ability to travel as required by project commitments, High desire for personal growth through a combination of challenge and on the job learning, Based in Dubai office, , Please, attach your CV",Entry level,Management Consulting,Full-time,Consulting,"Minsait was born as the answer to Indra's focus on high added-value businesses that enable high growth-rates and profitability, leveraging on Indra's sectoral leadership in the development of solutions for integrated technology projects. Minsait encapsulates a differential offering concept. Our goal is to support our clients in transforming their business models in the wake of today's rapidly changing world. We put at the service of our clients our proven capacity for innovation and the immense talent of our teams. 
 You will become part of a global organization offering deep expertise and strategic insights to clients in a multi-disciplinary working environment made up of inspiring people with skills ranging from technical experts to strategic thinkers. You could become an industry-leading subject matter expert or a trusted advisor to senior client management on a wide range of issues."
2019/03/21 22:26:08,https://www.linkedin.com/jobs/view/1159909898/?eBP=CwEAAAFpoiAXFNjZ-ZZRNxd4HppZpFzeNy8HRzqkRlStgRhZHzyWoiVHf_qx8hZocrvETbCN8pbB68RFsa_gDEYkgIoU_tf8uG2LG3-QPgefphYduTKax68VTG5J4zExHV-e147lqxIkGtmvmt6T9wM_C8LBpZcT_ynW7jNhrqmtTTHn-bpDqTqUcZE_NWLSzKEqGbDde0qRZ7_PREH9-RwkRZeIbPNIfABQugCOSQQrXaUxlKjryVjvTuTxnNjlGYpGoqSwh8qyebgXFM_jRguSserrpFo5mxhJ9OJDqg3pTIFG63Zj3fvBsWC2vQ4A-St8ZkC87shDYxE9Tk37itvnv6gj&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,React Native Mobile Developer,Guruvise,"Beirut District, Lebanon",Posted 2 weeks ago,Be among the first 25 applicants,"Established in 2016, Guruvise is a peer-to-peer platform that bridges eager learners with vetted educators from various academic fields and backgrounds. Guruvise smart-matches peers and aspires to build a knowledge-sharing community that realizes its academic goals and maximizes its success. Furthermore, Guruvise envisions becoming the premiere academic companion to students., , We are currently looking for a React Native mobile developer interested in building performant mobile apps on both the iOS and Android platforms, who will be responsible for architecting and building these applications, as well as designing a Firebase backend., , The developer:, Must be able to provide sound technical leadership in all aspects of our business. We’re in the phase of defining the requirements of our MVP, a mobile app that will connect students with tutors on a platform;, Will work hand-in-hand with the executive team as well as the designer to translate the business and applications requirements into mobile solutions using the recommended frameworks and technology;, Should have a passion for startups and understand its life cycle, as well as possess leadership skills that will be used to scale and manage a team in the long-term., , Job Description:, Build pixel-perfect, buttery smooth UIs across both mobile platforms., Leverage native APIs for deep integrations with both platforms., Diagnose and fix bugs and performance bottlenecks for performance that feels native., Maintain code and write automated tests to ensure the product is of the highest quality., Develop a real-time database using Firebase technologies, , Skills Needed:, Experience with iOS and Android development;, A broad knowledge of React and the Javascript ecosystem;, Experience with Multi-Threading and memory management specific to mobile devices;, Experienced in building and leading engineering teams;, Experienced in building and managing product backlogs;, Work well with executives;, An understanding of the need for encapsulated UI code;, Disciplined approach to writing tests and quality assurance;, Understanding of core CS concepts such as: common data structures and algorithms, profiling/optimization;, An engineering leader who wants to help shape an industry.",Mid-Senior level,Education Management,Full-time,Engineering Information Technology,"Guruvise provides proficient tutoring sessions for university students in several academic fields and areas. The company was founded in 2016 after several tutors decided to work together for the utmost benefits and outcomes of students of various majors and departments from both universities. 

Guruvise thrives to become a dominant tutoring platform for students to resort to when challenged by academic hitches as it promises to provide scholastic consultation, problem-solving recommendations, in addition to their tutoring program which includes comprehensive packages as well as project management services.

Our private tutoring programs are completely customized to our student's needs, schedule, learning level and style. In addition, our tutors pledge to help their students reach both their goals and their maximum outputs as they are available around the clock whether just for few hours or for the whole semester.

Guruvise enjoys working at a constant 24/7 basis nonstop to joyfully meet their student's requests and demand with the help of 45+ tutors around Lebanon."
2019/03/21 22:26:44,https://www.linkedin.com/jobs/view/1161663768/?eBP=JOB_SEARCH_ORGANIC&refId=842528a5-ffff-4a02-bb37-e0497637c8cd&trk=d_flagship3_search_srp_jobs,F&B Manager,Confidential,"Beirut, Beirut, Lebanon",Posted 2 weeks ago,Over 200 applicants,"Responsibilities, , In charge of the overall operations of the Business., In charge of the executions of the Main Kitchen and Outlets floor plans., Advice and approve F&B recruitments (Executive Chef, etc..)., Monitor and approve final products’ quality., Execute quality control on all ingredients., Advise on any new location., Approve all quotations related to the main kitchen., In charge of Inventory management., Work closely with all departments in order to increase profitability., Manage and maintain business plans and budget forecasts., Preserve excellent levels of customer service., Identify customers’ needs and respond proactively to all of their concerns., Lead F&B team by attracting, recruiting, training and appraising talented personnel., Establish targets, KPI’s, policies and procedures., Comply with all health and safety regulations., Report to Management sales results and productivity., Ensure that budgeted revenues are achieved through the highest standard of quality and service., Stay up to date with the latest market trends and customer requirements., Support the business expansion and growth across the region., Effectively communicate the Food & Beverage division’s strategies, objectives and performance expectations., Monitor the food & beverage preparation and presentation., Ensure effective up-selling., Minimize food costs.,  Prepare and report Sales analysis, P&L, Customer feedback and comments, Top selling items, etc., , Requirements, , Proven food and beverage management experience  - Not less than 12 years of experience, Working knowledge of various computer software programs (MS Office, restaurant management software, POS), Ability to spot and resolve problems efficiently, Mastery in delegating multiple tasks, Communication and leadership skills, Up to date with food and beverages trends and best practices, Ability to manage personnel and meet financial targets, Guest-oriented and service-minded",Mid-Senior level,Hospitality Food Production Food & Beverages,Full-time,Business Development Production Management,
